ItemId,name,description,plaintext,BaseCost,purchasable,TotalCost,SellPrice,tags,Map11,Map12,Map22,depth,MaxStack,consumed,inStore,requiredChampion,requiredAlly,imageFile,spriteFile,spriteGroup,spriteX,spriteY,spriteW,spriteH
1001,Boots of Speed,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +25 Movement Speed,Slightly increases Movement Speed,300,1,300,210,Boots,1,1,0,\N,\N,\N,\N,\N,\N,1001.png,item0.png,item,0,0,48,48
1004,Faerie Charm,<stats><mana>+25% Base Mana Regen </mana></stats>,Slightly increases Mana Regen,125,1,125,88,ManaRegen,1,1,0,\N,\N,\N,\N,\N,\N,1004.png,item0.png,item,48,0,48,48
1006,Rejuvenation Bead,<stats>+50% Base Health Regen </stats>,Slightly increases Health Regen,150,1,150,105,HealthRegen,1,1,0,\N,\N,\N,\N,\N,\N,1006.png,item0.png,item,96,0,48,48
1011,Giant's Belt,<stats>+380 Health</stats>,Greatly increases Health,600,1,1000,700,Health,1,1,0,2,\N,\N,\N,\N,\N,1011.png,item0.png,item,144,0,48,48
1018,Cloak of Agility,<stats>+20% Critical Strike Chance</stats>,Increases critical strike chance,800,1,800,560,CriticalStrike,1,1,0,\N,\N,\N,\N,\N,\N,1018.png,item0.png,item,192,0,48,48
1026,Blasting Wand,<stats>+40 Ability Power</stats>,Moderately increases Ability Power,850,1,850,595,SpellDamage,1,1,0,\N,\N,\N,\N,\N,\N,1026.png,item0.png,item,240,0,48,48
1027,Sapphire Crystal,<stats><mana>+250 Mana</mana></stats>,Increases Mana,350,1,350,245,Mana,1,1,0,\N,\N,\N,\N,\N,\N,1027.png,item0.png,item,288,0,48,48
1028,Ruby Crystal,<stats>+150 Health</stats>,Increases Health,400,1,400,280,Health,1,1,0,\N,\N,\N,\N,\N,\N,1028.png,item0.png,item,336,0,48,48
1029,Cloth Armor,<stats>+15 Armor</stats>,Slightly increases Armor,300,1,300,210,Armor,1,1,0,\N,\N,\N,\N,\N,\N,1029.png,item0.png,item,384,0,48,48
1031,Chain Vest,<stats>+40 Armor</stats>,Greatly increases Armor,500,1,800,560,Armor,1,1,0,2,\N,\N,\N,\N,\N,1031.png,item0.png,item,432,0,48,48
1033,Null-Magic Mantle,<stats>+25 Magic Resist</stats>,Slightly increases Magic Resist,450,1,450,315,SpellBlock,1,1,0,\N,\N,\N,\N,\N,\N,1033.png,item0.png,item,0,48,48,48
